"weight";"lat";"lon"
"1";"52.505";"4.499"
"1";"52.405";"4.449"
"1";"52.145";"4.219"
"1";"52.085";"3.899"
"1";"52.525";"5.599"
"1";"52.455";"5.799"
"1";"52.125";"4.109"
"1";"51.955";"4.169"
"1";"51.735";"4.619"
"1";"51.165";"4.189"
"1";"52.545";"4.899"
"1";"52.525";"4.889"
"1";"52.515";"5.319"
"1";"52.515";"4.749"
"1";"52.505";"5.489"
"1";"52.115";"4.769"
"1";"51.965";"4.169"
"1";"52.535";"5.059"
"1";"52.525";"4.859"
"1";"52.505";"4.719"
"1";"52.235";"5.289"
"1";"52.545";"4.919"
"1";"52.515";"5.549"
"1";"52.215";"4.519"
"1";"51.805";"4.679"
"1";"52.545";"5.389"
"1";"52.385";"4.709"
"1";"52.365";"4.349"
"1";"52.355";"4.429"
"1";"52.285";"4.739"
"1";"51.945";"4.169"
"1";"52.555";"4.729"
"1";"52.535";"5.039"
"1";"52.515";"4.559"
"1";"52.485";"4.439"
"1";"52.445";"4.769"
"1";"52.355";"4.349"
"1";"52.085";"3.909"
"1";"52.545";"4.909"
"1";"52.405";"5.089"
"1";"52.235";"4.609"
"1";"52.225";"5.279"
"1";"52.095";"4.149"
"1";"52.525";"5.109"
"1";"52.405";"4.429"
"1";"52.405";"4.379"
"1";"52.395";"5.259"
"1";"52.325";"4.999"
"1";"52.175";"4.329"
"1";"52.075";"4.129"
"1";"51.585";"4.509"
"1";"51.175";"4.189"
"1";"52.495";"4.719"
"1";"52.475";"5.719"
"1";"52.105";"4.009"
"1";"52.095";"3.979"
"1";"52.085";"4.819"
"1";"52.085";"3.949"
"1";"51.975";"4.179"
"1";"52.535";"4.829"
"1";"52.255";"5.189"
"1";"52.235";"4.249"
"1";"52.215";"5.299"
"1";"51.995";"4.539"
"1";"51.655";"4.559"
"1";"52.585";"4.649"
"1";"52.545";"4.809"
"1";"52.405";"4.419"
"1";"52.525";"4.559"
"1";"52.465";"5.759"
"1";"52.465";"4.459"
"1";"52.315";"5.009"
"1";"52.235";"5.309"
"1";"52.215";"5.139"
"1";"52.085";"4.279"
"1";"52.085";"3.879"
"1";"52.565";"4.519"
"1";"52.515";"4.519"
"1";"52.515";"3.989"
"1";"52.445";"4.419"
"1";"52.335";"4.949"
"1";"52.285";"5.029"
"1";"52.235";"5.299"
"1";"52.215";"5.129"
"1";"52.545";"4.879"
"1";"52.525";"3.939"
"1";"52.505";"4.049"
"1";"52.405";"4.409"
"1";"52.205";"5.329"
"1";"52.205";"4.739"
"1";"52.155";"4.979"
"1";"52.405";"4.459"
"1";"52.315";"4.469"
"1";"52.205";"4.519"
"1";"52.195";"5.349"
"1";"52.195";"4.929"
"1";"52.125";"4.129"
"1";"52.125";"4.119"
"1";"52.095";"3.969"
"1";"51.985";"4.229"
"1";"51.755";"4.639"
"1";"52.495";"5.509"
"1";"52.145";"4.849"
"1";"52.025";"4.609"
"1";"52.565";"5.089"
"1";"52.535";"4.559"
"1";"52.485";"5.679"
"1";"52.485";"4.099"
"1";"52.455";"5.419"
"1";"52.255";"4.329"
"1";"52.225";"4.249"
"1";"51.955";"4.199"
"1";"51.865";"4.059"
"1";"51.665";"4.569"
"1";"51.135";"4.169"
"1";"52.665";"4.949"
"1";"52.545";"4.789"
"1";"52.545";"4.529"
"1";"52.525";"3.949"
"1";"52.515";"4.719"
"1";"52.485";"5.089"
"1";"52.465";"5.749"
"1";"52.285";"4.969"
"1";"52.185";"4.939"
"1";"52.145";"4.179"
"1";"52.095";"4.409"
"1";"51.885";"4.099"
"1";"52.565";"4.719"
"1";"52.525";"5.509"
"1";"52.515";"5.289"
"1";"52.325";"4.919"
"1";"52.315";"4.649"
"1";"52.235";"5.329"
"1";"52.235";"5.279"
"1";"52.225";"5.289"
"1";"52.165";"4.889"
"1";"52.105";"4.019"
"1";"52.015";"4.759"
"1";"52.555";"4.739"
"1";"52.535";"5.469"
"1";"52.525";"4.819"
"1";"52.495";"5.499"
"1";"52.485";"4.739"
"1";"52.365";"4.869"
"1";"52.255";"4.519"
"1";"52.235";"5.319"
"1";"52.225";"4.319"
"1";"52.215";"5.119"
"1";"52.215";"4.309"
"1";"52.115";"4.079"
"1";"52.015";"4.579"
"1";"51.195";"4.209"
"1";"52.525";"5.589"
"1";"52.525";"3.929"
"1";"52.465";"5.149"
"1";"52.375";"4.699"
"1";"52.275";"4.279"
"1";"51.995";"4.519"
"1";"52.545";"4.929"
"1";"52.535";"5.019"
"1";"52.535";"4.579"
"1";"52.515";"5.339"
"1";"52.505";"4.019"
"1";"52.405";"5.279"
"1";"52.385";"5.209"
"1";"52.305";"4.479"
"1";"52.275";"4.849"
"1";"52.275";"4.289"
"1";"52.155";"4.899"
"1";"52.115";"4.069"
"1";"52.525";"4.539"
"1";"52.485";"5.509"
"1";"52.455";"5.779"
"1";"52.445";"4.279"
"1";"52.245";"4.629"
"1";"52.165";"4.969"
"1";"52.095";"3.989"
"1";"52.545";"5.049"
"1";"52.475";"4.479"
"1";"52.465";"5.739"
"1";"52.465";"5.729"
"1";"52.405";"4.729"
"1";"52.335";"5.059"
"1";"52.225";"4.719"
"1";"52.225";"4.619"
"1";"52.215";"5.309"
"1";"52.105";"4.039"
"1";"52.105";"4.029"
"1";"52.075";"4.249"
"1";"52.045";"4.749"
"1";"52.015";"5.089"
"1";"51.985";"5.089"
"1";"52.545";"5.039"
"1";"52.545";"4.539"
"1";"52.535";"4.789"
"1";"52.525";"4.569"
"1";"52.385";"5.219"
"1";"52.235";"4.319"
"1";"52.195";"4.919"
"1";"51.685";"4.579"
"1";"52.535";"4.809"
"1";"52.495";"5.639"
"1";"52.455";"5.789"
"1";"52.415";"4.409"
"1";"52.415";"4.399"
"1";"52.285";"4.489"
"1";"52.205";"4.729"
"1";"52.205";"4.309"
"1";"52.095";"3.959"
"1";"52.085";"3.869"
"1";"52.045";"3.709"
"1";"51.955";"4.129"
"1";"51.775";"4.649"
"1";"52.545";"4.829"
"1";"52.525";"5.119"
"1";"52.525";"4.829"
"1";"52.525";"4.809"
"1";"52.495";"5.519"
"1";"52.495";"4.059"
"1";"52.445";"5.399"
"1";"52.315";"4.319"
"1";"52.085";"4.289"
"1";"52.035";"5.499"
"1";"52.505";"4.509"
"1";"52.295";"4.929"
"1";"52.185";"5.369"
"1";"52.115";"4.089"
"1";"52.115";"4.059"
"1";"52.075";"4.369"
"1";"52.015";"4.729"
"1";"51.905";"4.139"
"1";"51.885";"4.089"
"1";"51.865";"4.089"
"1";"51.605";"4.519"
"1";"51.235";"4.239"
"1";"50.685";"5.089"
"1";"52.545";"4.989"
"1";"52.395";"4.419"
"1";"52.375";"4.709"
"1";"52.295";"4.479"
"1";"52.265";"4.509"
"1";"52.235";"4.869"
"1";"52.015";"4.129"
"1";"51.815";"3.989"
"1";"51.625";"4.539"
"1";"52.545";"5.019"
"1";"52.545";"4.949"
"1";"52.525";"4.469"
"1";"52.495";"4.519"
"1";"52.345";"4.959"
"1";"52.325";"5.099"
"1";"52.085";"2.249"
"1";"51.855";"4.719"
"1";"51.575";"4.499"
"1";"52.855";"2.889"
"1";"52.535";"3.899"
"1";"52.515";"3.979"
"1";"52.435";"5.869"
"1";"52.405";"4.389"
"1";"52.165";"5.409"
"1";"52.165";"4.279"
"1";"52.125";"4.459"
"1";"52.125";"4.099"
"1";"52.015";"4.589"
"1";"52.675";"4.909"
"1";"52.545";"5.009"
"1";"52.545";"4.779"
"1";"52.535";"4.759"
"1";"52.485";"4.469"
"1";"52.475";"4.179"
"1";"52.435";"4.719"
"1";"52.225";"4.889"
"1";"52.125";"4.849"
"1";"52.085";"4.739"
"1";"52.685";"4.659"
"1";"52.575";"4.729"
"1";"52.525";"4.979"
"1";"52.525";"3.959"
"1";"52.435";"5.369"
"1";"52.425";"4.339"
"1";"52.375";"5.189"
"1";"52.275";"5.019"
"1";"52.275";"4.499"
"1";"52.115";"4.849"
"1";"52.085";"2.259"
"1";"51.935";"4.149"
"1";"51.925";"3.159"
"1";"52.545";"4.519"
"1";"52.535";"4.479"
"1";"52.395";"4.729"
"1";"52.295";"4.639"
"1";"52.245";"4.529"
"1";"52.215";"4.899"
"1";"52.165";"4.869"
"1";"52.005";"4.559"
"1";"51.765";"4.649"
"1";"52.555";"4.719"
"1";"52.545";"4.579"
"1";"52.515";"3.969"
"1";"52.455";"4.429"
"1";"52.365";"4.699"
"1";"52.215";"5.099"
"1";"52.095";"3.999"
"1";"52.065";"3.809"
"1";"52.055";"3.749"
"1";"51.995";"4.249"
"1";"51.925";"5.129"
"1";"51.925";"3.139"
"1";"51.905";"4.759"
"1";"51.675";"4.579"
"1";"51.115";"4.159"
"1";"52.545";"4.979"
"1";"52.545";"4.939"
"1";"52.525";"4.989"
"1";"52.515";"4.589"
"1";"52.515";"4.579"
"1";"52.515";"3.949"
"1";"52.465";"4.219"
"1";"52.455";"5.089"
"1";"52.385";"5.049"
"1";"52.255";"4.649"
"1";"52.205";"4.469"
"1";"52.165";"4.329"
"1";"52.115";"4.229"
"1";"52.075";"3.839"
"1";"52.005";"4.639"
"1";"52.005";"4.129"
"1";"51.925";"3.149"
"1";"52.565";"4.769"
"1";"52.545";"4.969"
"1";"52.515";"5.329"
"1";"52.485";"5.629"
"1";"52.465";"5.719"
"1";"52.445";"5.139"
"1";"52.305";"4.639"
"1";"52.205";"5.339"
"1";"52.085";"5.039"
"1";"52.005";"4.719"
"1";"51.985";"4.239"
"1";"51.975";"4.129"
"1";"51.815";"4.679"
"1";"51.705";"4.539"
"1";"52.535";"4.739"
"1";"52.525";"4.709"
"1";"52.385";"5.059"
"1";"52.355";"5.119"
"1";"52.325";"4.929"
"1";"52.325";"4.359"
"1";"52.285";"4.829"
"1";"52.285";"4.499"
"1";"52.175";"4.289"
"1";"52.025";"5.089"
"1";"52.025";"4.729"
"1";"51.895";"5.139"
"1";"51.175";"4.199"
"1";"52.585";"4.659"
"1";"52.585";"4.639"
"1";"52.545";"5.029"
"1";"52.465";"5.439"
"1";"52.465";"4.469"
"1";"52.455";"5.139"
"1";"52.395";"5.079"
"1";"52.385";"4.919"
"1";"52.355";"4.679"
"1";"52.305";"4.719"
"1";"52.235";"5.339"
"1";"52.205";"5.099"
"1";"52.195";"4.299"
"1";"52.165";"5.429"
"1";"52.135";"4.239"
"1";"52.085";"4.799"
"1";"52.085";"2.239"
"1";"51.615";"4.529"
"1";"51.065";"4.129"
