"weight";"lat";"lon"
"70";"52.495";"4.449"
"70";"52.215";"5.099"
"70";"52.085";"2.279"
"70";"52.125";"4.139"
"70";"52.455";"4.219"
"70";"52.105";"4.419"
"70";"52.235";"5.289"
"70";"51.925";"2.839"
"70";"52.235";"5.279"
"70";"52.535";"4.759"
"70";"52.385";"4.419"
"70";"52.155";"5.449"
"70";"52.105";"5.559"
"70";"52.045";"3.719"
"70";"52.525";"5.119"
"70";"52.515";"5.359"
"70";"52.235";"4.699"
"70";"52.065";"3.779"
"70";"51.185";"4.199"
"70";"52.515";"4.579"
"70";"52.085";"2.239"
"70";"52.035";"3.659"
"70";"52.575";"4.949"
"70";"52.485";"4.449"
"70";"52.255";"4.859"
"70";"52.085";"4.749"
"70";"51.925";"2.829"
"69";"52.565";"4.689"
"69";"52.445";"5.289"
"69";"52.545";"4.899"
"69";"52.535";"3.899"
"69";"52.235";"4.659"
"69";"51.925";"2.869"
"69";"52.515";"5.289"
"69";"52.165";"4.279"
"69";"52.285";"4.649"
"69";"52.085";"4.249"
"69";"52.595";"4.529"
"69";"52.525";"4.809"
"69";"51.065";"4.129"
"69";"52.225";"5.199"
"69";"52.165";"5.429"
"69";"52.045";"3.689"
"69";"51.965";"4.779"
"69";"52.555";"4.829"
"69";"52.485";"5.639"
"69";"52.315";"4.739"
"69";"52.555";"4.879"
"69";"52.655";"4.519"
"69";"51.415";"3.099"
"69";"52.325";"5.139"
"69";"52.515";"5.519"
"69";"51.925";"2.889"
"69";"52.465";"5.749"
"69";"51.955";"4.179"
"69";"52.515";"5.449"
"69";"52.125";"4.729"
"69";"52.535";"5.009"
"69";"52.495";"4.819"
"69";"51.925";"2.859"
"69";"51.915";"3.099"
"69";"52.355";"5.099"
"69";"51.925";"2.879"
"69";"52.245";"4.809"
"69";"52.015";"4.579"
"69";"52.205";"4.569"
"68";"52.255";"4.529"
"68";"51.885";"4.089"
"68";"52.405";"5.009"
"68";"52.075";"5.649"
"68";"52.025";"3.619"
"68";"52.535";"3.909"
"68";"51.425";"4.379"
"68";"52.375";"4.359"
"68";"51.585";"4.469"
"68";"52.505";"3.919"
"68";"52.355";"5.149"
"68";"52.095";"3.999"
"68";"52.145";"5.469"
"68";"52.165";"4.759"
"68";"51.925";"2.969"
"68";"51.815";"4.689"
"68";"52.325";"5.229"
"68";"51.195";"4.209"
"68";"52.405";"4.739"
"68";"52.545";"4.919"
"68";"52.435";"5.249"
"68";"52.305";"5.059"
"68";"52.395";"4.939"
"68";"52.475";"5.719"
